Id,Character,Name,Ability Element,Ability Pot. %,Ability Range,Ability Type,Command ATB,Command Sigil,Effect0,Effect0_Duration,Effect0_Extend,Effect0_MaxPot,Effect0_Pot,Effect0_Range,Effect1,Effect1_Duration,Effect1_Extend,Effect1_MaxPot,Effect1_Pot,Effect1_Range,Effect2,Effect2_Duration,Effect2_Extend,Effect2_MaxPot,Effect2_Pot,Effect2_Range,Effect3,Effect3_Range,GachaType
1001,Cloud,Buster Sword,None,750.0,Single Enemy,Phys,4,✕ Cross,UNKOWN ADDITIONAL EFFECT,,,,,Single Enemy,UNKOWN ADDITIONAL EFFECT,,,,,Single Enemy,,,,,,,,,Event
1002,Cloud,Iron Blade,None,350.0,All Enemies,Phys,4,,PATK Down,25,8,High,High,All Enemies,UNKOWN ADDITIONAL EFFECT,,,,,All Enemies,,,,,,,,,Featured
1003,Cloud,Hardedge,None,510.0,Single Enemy,Phys,4,,PDEF Down,25,8,Very High,Very High,Single Enemy,UNKOWN ADDITIONAL EFFECT,,,,,Single Enemy,,,,,,,,,Featured
1004,Cloud,Mythril Saber,None,940.0,Single Enemy,Mag,4,,UNKOWN ADDITIONAL EFFECT,,,,,Single Enemy,,,,,,,,,,,,,,,Featured
1006,Cloud,Butterfly Edge,Heal,14.0,Single Ally,Mag,4,,PDEF Up,38,12,Very High,Very High,Single Ally,,,,,,,,,,,,,,,Featured
1007,Cloud,Murasame,Lightning,750.0,Single Enemy,Phys,4,,,,,,,,,,,,,,,,,,,,,,Featured
1008,Cloud,Organics,None,750.0,Single Enemy,Phys,4,,Status Ailment: Stun,5,2,,,Single Enemy,UNKOWN ADDITIONAL EFFECT,,,,,Single Enemy,,,,,,,,,Featured
1009,Cloud,Crystal Sword,Heal,72.0,All Allies,Mag,5,,,,,,,,,,,,,,,,,,,,,,Featured
1012,Cloud,Enhance Sword,Ice,520.0,All Enemies,Mag,4,,,,,,,,,,,,,,,,,,,,,,Featured
1013,Cloud,Nail Bat,None,1600.0,Single Enemy,Phys,5,,UNKOWN ADDITIONAL EFFECT,,,,,Single Enemy,,,,,,,,,,,,,,,Event
1015,Cloud,Apocalypse,None,940.0,Single Enemy,Phys,4,,UNKOWN ADDITIONAL EFFECT,,,,,Single Enemy,,,,,,,,,,,,,,,Featured
1020,Cloud,Maritime Sword,Water,750.0,Single Enemy,Phys,4,,,,,,,,,,,,,,,,,,,,,,Featured
1021,Cloud,Full Throttle,Ice,1120.0,Single Enemy,Mag,4,,MATK Up,30,10,Very High,High,Self,MDEF Down,30,10,Very High,High,Single Enemy,,,,,,,,,Featured
1022,Cloud,Mystic Sword,None,420.0,Single Enemy,Mag,3,,MATK Down,24,8,Very High,Very High,Single Enemy,PATK Down,24,8,Very High,Very High,Single Enemy,UNKOWN ADDITIONAL EFFECT,,,,,Single Enemy,,,Featured
1024,Cloud,Shiva's Blade,Ice,450.0,Single Enemy,Mag,4,,,,,,,,,,,,,,,,,,,,,,Grindable
1025,Cloud,Bandaged Sword,Heal,7.0,All Allies,Mag,4,,MDEF Up,14,4,Very High,Very High,All Allies,,,,,,,,,,,,,,,Featured
1028,Cloud,Skysplitter,Fire,850.0,Single Enemy,Phys,4,,,,,,,,,,,,,,,,,,,,,,Featured
1029,Cloud,Zidane's Sword,None,1300.0,Single Enemy,Phys,4,,UNKOWN ADDITIONAL EFFECT,,,,,Single Enemy,,,,,,,,,,,,,,,Event
1030,Cloud,Holiday Cheer,Earth,290.0,All Enemies,Mag,4,,,,,,,,,,,,,,,,,,,,,,Event
1031,Cloud,Stream Saber,Ice,1020.0,Single Enemy,Phys,4,,UNKOWN SKILL STATUS CHANGE,,,,,All Allies,,,,,,,,,,,,,,,Limited
1032,Cloud,Igneous Saber,Fire,290.0,All Enemies,Mag,4,,,,,,,,,,,,,,,,,,,,,,Event
1033,Cloud,Glavenus Sword,None,850.0,Single Enemy,Phys,4,,PDEF Down,30,10,High,High,Single Enemy,PATK Up,35,7,Very High,Very High,Self,UNKOWN ADDITIONAL EFFECT,,,,,Single Enemy,,,Limited
1034,Cloud,Rune Blade,Ice,290.0,All Enemies,Mag,4,,,,,,,,,,,,,,,,,,,,,,Event
1035,Cloud,Burning Oar,Fire,450.0,Single Enemy,Phys,4,,,,,,,,,,,,,,,,,,,,,,Event
1036,Cloud,Bahamut Greatsword,None,800.0,All Enemies,Phys,4,,UNKOWN SKILL STATUS CHANGE,,,,,Self,UNKOWN ADDITIONAL EFFECT,,,,,All Enemies,UNKOWN ADDITIONAL EFFECT,,,,,All Enemies,,,Limited
1037,Cloud,Ultimate Buster Sword,None,1000.0,Single Enemy,Both,0,,PATK Down,30,30,Very High,Very High,Single Enemy,MATK Down,30,30,Very High,Very High,Single Enemy,,,,,,,,,Ultimate
1038,Cloud,Locke's Sword,None,1010.0,Single Enemy,Phys,3,,Fire Damage Up,55,11,Very High,Very High,Self,Ice Damage Up,55,11,Very High,Very High,Self,Lightning Damage Up,55,11,Very High,Very High,Self,UNKOWN ADDITIONAL EFFECT,Single Enemy,Limited
1039,Cloud,Holiday Blade,Wind,940.0,Single Enemy,Mag,4,,UNKOWN ADDITIONAL EFFECT,,,,,Single Enemy,,,,,,,,,,,,,,,Featured
1040,Cloud,Chocobo Paddle,None,250.0,All Enemies,Mag,4,,Fire Resistance Down,35,8,High,Mid,All Enemies,UNKOWN ADDITIONAL EFFECT,,,,,All Enemies,,,,,,,,,Event
1042,Cloud,Sleek Saber,None,250.0,All Enemies,Mag,4,,PDEF Down,35,8,High,Mid,All Enemies,UNKOWN ADDITIONAL EFFECT,,,,,All Enemies,,,,,,,,,Event
1044,Cloud,Erdrick's Sword,Lightning,720.0,All Enemies,Phys,4,,UNKOWN ADDITIONAL EFFECT,,,,,All Enemies,Status Ailment: Enfeeble,30,10,,,All Enemies,MATK Down,30,10,Very High,High,All Enemies,,,Limited
1045,Cloud,Radblade,Water,450.0,Single Enemy,Phys,4,,,,,,,,,,,,,,,,,,,,,,Event
1046,Cloud,Umbral Blade,None,430.0,All Enemies,Phys,4,,UNKOWN ADDITIONAL EFFECT,,,,,All Enemies,UNKOWN ADDITIONAL EFFECT,,,,,All Enemies,,,,,,,,,Event
1047,Cloud,Ragnarok,None,2000.0,Single Enemy,Both,0,,UNKOWN SKILL STATUS CHANGE,,,,,Self,UNKOWN SKILL STATUS CHANGE,,,,,Self,UNKNOWN EFFECT: 16,,,,,All Allies,,,Ultimate
1048,Cloud,Fusion Sword,None,1340.0,Single Enemy,Phys,4,,UNKOWN SKILL STATUS CHANGE,,,,,Self,UNKOWN SKILL STATUS CHANGE,,,,,Self,UNKOWN SKILL STATUS CHANGE,,,,,Self,UNKOWN ADDITIONAL EFFECT,Single Enemy,Limited
1049,Cloud,Crimson Blitz,None,800.0,Single Enemy,Mag,3,,Status Ailment: Ice Weakness,60,20,,+30.0%,Single Enemy,UNKOWN SKILL STATUS CHANGE,,,,,All Allies,UNKOWN ADDITIONAL EFFECT,,,,,Single Enemy,,,Limited
1050,Cloud,Cruel Successor,Earth,1340.0,Single Enemy,Phys,4,,UNKOWN SKILL STATUS CHANGE,,,,,All Allies,,,,,,,,,,,,,,,Limited
2001,Barret,Gatling Gun,None,750.0,Single Enemy,Phys,4,✕ Cross,UNKOWN ADDITIONAL EFFECT,,,,,Single Enemy,,,,,,,,,,,,,,,Featured
2002,Barret,Assault Gun,Heal,7.0,All Allies,Phys,4,,PDEF Up,14,4,Very High,Very High,All Allies,,,,,,,,,,,,,,,Featured
2007,Barret,Heavy Vulcan,Heal,14.0,Single Ally,Mag,4,,MDEF Up,38,12,Very High,Very High,Single Ally,,,,,,,,,,,,,,,Featured
2008,Barret,Microlaser,Heal,14.0,Single Ally,Mag,4,,MATK Up,38,12,Very High,Very High,Single Ally,UNKOWN SKILL STATUS CHANGE,,,,,Single Ally,,,,,,,,,Featured
2010,Barret,W Machine,None,510.0,Single Enemy,Phys,4,,PDEF Down,25,8,Very High,Very High,Single Enemy,UNKOWN ADDITIONAL EFFECT,,,,,Single Enemy,,,,,,,,,Featured
2011,Barret,Solid Bazooka,None,510.0,Single Enemy,Phys,4,,UNKOWN ADDITIONAL EFFECT,,,,,Single Enemy,MATK Down,25,8,Very High,Very High,Single Enemy,,,,,,,,,Featured
2012,Barret,Enemy Launcher,None,650.0,All Enemies,Phys,4,,UNKOWN ADDITIONAL EFFECT,,,,,All Enemies,,,,,,,,,,,,,,,Featured
2013,Barret,Max Ray,None,750.0,Single Enemy,Mag,4,◊ Diamond,UNKOWN ADDITIONAL EFFECT,,,,,Single Enemy,,,,,,,,,,,,,,,Featured
